source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
15759613694243712,47.66178887618479,11.872515688036836,7.417852829290322,0.06582082,5.9547124,5.9198546,5.9897337,-0.069879055,1.0991414,0.33309966,,,11089.912151244262,0.7660112671855666,0.8397587271897338,1.0
23420151723059200,37.397324849783,9.565635854442906,10.691974170640917,0.07701657,5.834278,6.340275,5.1467648,1.19351,1.876335,0.37388188,5078.1567,8.6353,4321.500800111048,1.0,0.8372790556964116,0.7066002828388525
83369717557815296,42.32318846502103,17.464256005029863,,,5.2968516,5.2534337,5.3471336,-0.09369993,,0.65142375,,,11467.945378543933,0.758735912652227,0.8352278477355615,1.0
87110221755417344,34.53134052904975,19.9011413683676,7.221979290900675,0.104291566,5.5570393,5.5656157,5.5186024,0.047013283,1.0717427,0.53352445,,,9574.267549658405,0.8029438616592482,0.8624775699327106,1.0
107720086182025984,34.737508930378254,28.64267933716647,8.997126240507571,0.07290634,5.2744393,5.287496,5.232361,0.05513525,1.1620857,0.55312306,9332.897,3.8051,9485.739984410991,0.8056307936781504,0.8641125693606125,1.0
114312345585489792,42.19155894094839,25.1880412349605,6.292202788365064,0.18555179,5.8832603,5.8617506,5.885238,-0.023487568,4.0524898,1.1192081,,,10427.995189185984,0.7803590380844356,0.8486398316835048,1.0
137319832555250816,44.765068361382745,35.18316029459311,9.050135297952748,0.11268041,4.561302,5.192955,3.8042314,1.3887236,0.9637042,0.5894402,4757.817,22.6002,3968.936835774293,1.0,0.8040813618473026,0.6456455236888475
140480722327539328,42.72037892221456,35.39391391549978,4.846200815623703,0.033712216,5.967968,6.7575645,5.100351,1.6572137,1.1194773,0.15595445,,,3571.4028515747373,1.0,0.7629122358707146,0.567558290583274
145484634106814592,66.35476960697082,22.19979147131272,22.017740203586687,0.12881888,5.224731,5.3350024,4.980232,0.35477066,1.3905345,0.75924563,7491.453,2.2074,7130.628394335833,0.9359871111454598,0.9407954392214017,1.0
156157696556719616,77.90967095770287,29.90347020028328,3.110684443822102,0.155307,5.399586,6.660305,4.2773395,2.3829656,2.9571898,0.8356658,,,2817.4672892237763,1.0,0.6704160461868821,0.3790613661725359
